key	definitions	type	instances	example
x-ms-global	1	boolean	1	https://raw.githubusercontent.com/NiklasGustafsson/vscode-swagger/master/swaggerpreview/samples/minswagger.json
x-ms-isnullable	1	object	1	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-machinelearning/2016-05-01-preview/swagger/webservices.json
x-ms-isordered	1	object	1	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-machinelearning/2016-05-01-preview/swagger/webservices.json
x-ms-paths	1	object	1	https://raw.githubusercontent.com/Azure/azure-rest-api-specs/master/arm-graphrbac/1.6/swagger/graphrbac.json
x-ms-summary	1	string	34	https://raw.githubusercontent.com/jeffhollan/docdb-connector/master/resources/swagger.json
x-ms-trigger	1	string	8	https://raw.githubusercontent.com/juliensobrier/browshot-api-spec/master/browshot.yaml
x-no-doc	1	object	8	https://raw.githubusercontent.com/omnypay/omnypay-platform-api/master/spec/swagger.yaml
x-oauth1	1	boolean	1	https://raw.githubusercontent.com/rogeraaut/rogeraaut.github.io/master/wpasecms.swagger.json
x-oauthpermissions	1	object	16	https://raw.githubusercontent.com/square/connect-api-specification/master/api.json
x-otm-entity	1	object	17	D:\nodejs\hapi\APIs\external_sources\apis.io\MASAIBUSAPI.json
x-otm-library	1	object	1	D:\nodejs\hapi\APIs\external_sources\apis.io\MASAIBUSAPI.json
x-otm-resource	1	object	1	D:\nodejs\hapi\APIs\external_sources\apis.io\MASAIBUSAPI.json
x-parameterGroups	1	object	293	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-plugin	1	string	57	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-priority	1	number	1	https://raw.githubusercontent.com/philip/mysqlcs-rest-client-php/master/swagger.yaml
x-private	1	boolean	1	https://raw.githubusercontent.com/theganyo/swagger-node-runner/master/test/assets/project/api/swagger/swagger.yaml
x-radar-pages	1	object	1	https://bitbucket.org/api/swagger.json
x-remove-me	1	string	1	https://raw.githubusercontent.com/theganyo/swagger-node-runner/master/test/assets/project/api/swagger/swagger.yaml
x-required-role	1	multiple	9	https://raw.githubusercontent.com/arcana261/SaladioBackEnd/master/api/swagger/swagger.yaml
x-resource-location	1	string	1	https://wikimedia.org/api/rest_v1/?spec
x-runscope/nullable	1	boolean	1	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json
x-runscope/nullable/value	1	string	1	https://raw.githubusercontent.com/NYTimes/public_api_specs/master/most_popular_api/most_popular_api_v2.json
x-schema-form	1	object	27	https://raw.githubusercontent.com/RetailMeNotSandbox/dart/master/src/python/dart/web/api/swagger.yaml
x-schema-id	1	string	1	https://raw.githubusercontent.com/Mermade/bbcparse/master/iblApi/swagger.json
x-scope	1	string	33	https://raw.githubusercontent.com/wso2/carbon-apimgt/master/components/apimgt/org.wso2.carbon.apimgt.core/src/test/resources/swagger.json
x-showCondition	1	object	9026	https://raw.githubusercontent.com/kaltura/kaltura-api-recipes/development/swagger/swagger.json
x-silex	1	object	3	https://raw.githubusercontent.com/RackDeploy/silex-base-api/master/config/swagger.yaml
x-sq-sdk-sample-code	1	object	30	https://raw.githubusercontent.com/square/connect-api-specification/master/api.json
x-states	1	object	9	https://raw.githubusercontent.com/maartenvanheek/rebelapi/master/src/main/webapp/swagger.yaml
x-swagger-magic-invalidateTokenUrl	1	string	1	https://raw.githubusercontent.com/phaneendra/stinter-web/master/src/api/swagger/swagger.yaml
